Anno,città_CORRETTA,Luogo_CORRETTO,Evento
1979,Caserta,"Rassegna ""Passaggio a sud-ovest""",Lotus seven 2006
1979,Caserta,"Rassegna ""Passaggio a sud-ovest""",Midsummer Night’s Dream
1979,Caserta,"Rassegna ""Passaggio a sud-ovest""",Theatre Functions Terminated
1979,Firenze,Forte Belvedere,La Mandragola
1979,Milano,Teatro Out Off,Krakatoa
1979,Napoli,Galleria Lucio Amelio,Segni di vita
1979,Napoli,Goethe Institut,Verso il nulla
1979,Napoli,Rassegna Nuova creatività del mezzogiorno,Dal vivo (azione teatrale)
1979,Napoli,Rassegna Nuova creatività del mezzogiorno,Mickey Mouse (studio per ambiente)
1979,Napoli,Spazio Libero,Propaganda
1979,Napoli,Studio Mamini,Falso movimento live!
1979,Palermo,Padiglione della fiera del Mediterraneo,Deserti
1979,Perugia,,Il Diavolo e il suo Angelo 1979 1986
1979,Pontedera,Teatro di via Manzoni,Vestition d'antan
1979,Roma,Auditorium di via della Conciliazione,Manfred
1979,Roma,Basilica di Massenzio,Jean Harlow e Billy the Kid
1979,Roma,Beat 72,Il nodo di Gordio
1979,Roma,Beat 72,L’Occhio della Mente: itinerario di memoria con tensioni bianco-rosso
1979,Roma,Beat 72,La macchina del tempo
1979,Roma,Beat 72,Prototipi
1979,Roma,Beat 72,Smart Symphony
1979,Roma,Beat 72,Theatre Functions Critical
1979,Roma,Centro Arti Visive,The Impossible Track
1979,Roma,Galleria Nazionale d'Arte Moderna,Morte funesta
1979,Roma,La Piramide,Cavalcata sul lago di Costanza [Perlini '79]
1979,Roma,Piscina del CONI,Mine Ha
1979,Roma,Studio Mario Schifano,Tea Road. Dagli Appennini alle Ande
1979,Roma,Teatro Abaco,Il ritorno di Oreste
1979,Roma,Teatro Flaiano,Fantastica visione
1979,Roma,Teatro in Trastevere,De Bernardis-Peragallo
1979,Roma,Teatro in Trastevere,Erratum Musical
1979,Roma,Teatro in Trastevere,Ominide
1979,Roma,Teatro La Maddalena,L'Immacolata concezione
1979,Roma,Teatro La Maddalena,La riverenza
1979,Roma,Teatro Quirino,"Otello, o della deficienza della donna"
1979,San Nicola La Strada,,La camera di Jean
1979,Santarcangelo di Romagna,Festival Internazionale del Teatro di Santarcangelo,Sonja
1979,Stoccarda,"Tagblatt Turm [Rassegna ""Europa- 79 Kunst der 80 er Jarhe""]",Dallas 1983
