Attore,Evento,Anno,Relazione,Data_old,Data_flat,Luogo_CORRETTO,città_CORRETTA,"Luogo, città _ORIGINALE",LENGHT
Carmelo Bene,Pinocchio '66,1966,ha diretto,17 March 1966,17 March 1966,Teatro Centrale,Roma,"Teatro Centrale, Roma",15
Manuela Morosini,L'impuro folle,1974,recitato in,16 October 1974,16 October 1974,Palazzo Grassi,Venezia,"Teatro di Palazzo Grazzi, Venezia",14
Le Nemesiache,Cenerella,1973,ha diretto,6 May 1973,6 May 1973,Teatro Club,Napoli,"Teatro Club, Napoli",11
Lina Mangiacapre,Cenerella,1973,ha diretto,6 May 1973,6 May 1973,Teatro Club,Napoli,"Teatro Club, Napoli",11
Lina Mangiacapre,Cenerella,1973,testo/soggetto per,6 May 1973,6 May 1973,Teatro Club,Napoli,"Teatro Club, Napoli",11
Maria Belfiore,L'impuro folle,1974,recitato in,16 October 1974,16 October 1974,Palazzo Grassi,Venezia,"Teatro di Palazzo Grazzi, Venezia",14
Claudio Remondi,Terote,1972,testo/soggetto per,1972,1972,Teatro Club,Roma,"Teatro Club, Roma",11
Marina Zanchi,L'impuro folle,1974,recitato in,16 October 1974,16 October 1974,Palazzo Grassi,Venezia,"Teatro di Palazzo Grazzi, Venezia",14
Riccardo Caporossi,Terote,1972,testo/soggetto per,1972,1972,Teatro Club,Roma,"Teatro Club, Roma",11
Paolo Baroni,L'impuro folle,1974,recitato in,16 October 1974,16 October 1974,Palazzo Grassi,Venezia,"Teatro di Palazzo Grazzi, Venezia",14
Domenico Guaccero,Prove di iniziazione per i Pa v Pn (un pubblico attivo o nessun pubblico),1966,ha curato musiche/sonoro per,3 March 1966,3 March 1966,Teatro Club Orsoline 15,Roma,"Teatro Club Orsoline 15, Roma",23
Filippo Perrone,Prove di iniziazione per i Pa v Pn (un pubblico attivo o nessun pubblico),1966,ha curato scene/costumi per,3 March 1966,3 March 1966,Teatro Club Orsoline 15,Roma,"Teatro Club Orsoline 15, Roma",23
Gian Carlo Celli,Prove di iniziazione per i Pa v Pn (un pubblico attivo o nessun pubblico),1966,ha diretto,3 March 1966,3 March 1966,Teatro Club Orsoline 15,Roma,"Teatro Club Orsoline 15, Roma",23
Gian Carlo Celli,Prove di iniziazione per i Pa v Pn (un pubblico attivo o nessun pubblico),1966,testo/soggetto per,3 March 1966,3 March 1966,Teatro Club Orsoline 15,Roma,"Teatro Club Orsoline 15, Roma",23
Rick Martino,L'impuro folle,1974,recitato in,16 October 1974,16 October 1974,Palazzo Grassi,Venezia,"Teatro di Palazzo Grazzi, Venezia",14
Rossana Palazzoni,L'impuro folle,1974,recitato in,16 October 1974,16 October 1974,Palazzo Grassi,Venezia,"Teatro di Palazzo Grazzi, Venezia",14
Valentina La Rocca,L'impuro folle,1974,recitato in,16 October 1974,16 October 1974,Palazzo Grassi,Venezia,"Teatro di Palazzo Grazzi, Venezia",14
Alberto Pudìa,Mascheropoli,1974,recitato in,30 December 1974,30 December 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Francesco Cioffi,Mascheropoli,1974,recitato in,30 December 1974,30 December 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Lamberto Carry,Mascheropoli,1974,recitato in,30 December 1974,30 December 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Carlo Cecchi,"L'Uomo, la bestia e la virtù",1976,ha diretto,10 January 1976,10 January 1976,Teatro Comunale,Guastalla,"Teatro Comunale, Guastalla",15
Lietta Venanzini,Mascheropoli,1974,recitato in,30 December 1974,30 December 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Pino Tufillaro,Mascheropoli,1974,recitato in,30 December 1974,30 December 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Luigi Pirandello,"L'Uomo, la bestia e la virtù",1976,testo/soggetto per,10 January 1976,10 January 1976,Teatro Comunale,Guastalla,"Teatro Comunale, Guastalla",15
Sofia Amendolea,Mascheropoli,1974,recitato in,30 December 1974,30 December 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Alberto Pudìa,Allegro Cantabile,1974,recitato in,31 July 1974,31 July 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Sergio Tramonti,"L'Uomo, la bestia e la virtù",1976,ha curato scene/costumi per,10 January 1976,10 January 1976,Teatro Comunale,Guastalla,"Teatro Comunale, Guastalla",15
Sergio Tramonti,"L'Uomo, la bestia e la virtù",1976,ha curato scene/costumi per,10 January 1976,10 January 1976,Teatro Comunale,Guastalla,"Teatro Comunale, Guastalla",15
Sergio Tramonti,"L'Uomo, la bestia e la virtù",1976,ha curato scene/costumi per,10 January 1976,10 January 1976,Teatro Comunale,Guastalla,"Teatro Comunale, Guastalla",15
Claretta Carotenuto,Allegro Cantabile,1974,recitato in,31 July 1974,31 July 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Bruno Mazzali,Il teatrino di Don Cristobal,1974,ha diretto,17 February 1974,17 February 1974,Teatro Comunale,L'Aquila,"Teatro Comunale, L'Aquila",15
Federico Garcia Lorca,Il teatrino di Don Cristobal,1974,testo/soggetto per,17 February 1974,17 February 1974,Teatro Comunale,L'Aquila,"Teatro Comunale, L'Aquila",15
Giancarlo Sepe,Allegro Cantabile,1974,recitato in,31 July 1974,31 July 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Lietta Venanzini,Allegro Cantabile,1974,recitato in,31 July 1974,31 July 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Pino Tufillaro,Allegro Cantabile,1974,recitato in,31 July 1974,31 July 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Sofia Amendolea,Allegro Cantabile,1974,recitato in,31 July 1974,31 July 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Alberto Pudìa,Scarrafonata,1974,recitato in,22 March 1974,22 March 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Claudio Conti,Scarrafonata,1974,recitato in,22 March 1974,22 March 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Piero Arcangeli,Il teatrino di Don Cristobal,1974,adattamento del testo per,17 February 1974,17 February 1974,Teatro Comunale,L'Aquila,"Teatro Comunale, L'Aquila",15
Piero Arcangeli,Il teatrino di Don Cristobal,1974,ha curato musiche/sonoro per,17 February 1974,17 February 1974,Teatro Comunale,L'Aquila,"Teatro Comunale, L'Aquila",15
Giancarlo Sepe,Scarrafonata,1974,recitato in,22 March 1974,22 March 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Idill Ghinelli,Scarrafonata,1974,recitato in,22 March 1974,22 March 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Antonio Calenda,Poesie di Beckett,1965,ha diretto,October 1965,October 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Domenico Guaccero,Poesie di Beckett,1965,ha curato musiche/sonoro per,October 1965,October 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Lietta Venanzini,Scarrafonata,1974,recitato in,22 March 1974,22 March 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Franco Nonnis,Poesie di Beckett,1965,ha curato scene/costumi per,October 1965,October 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Sofia Amendolea,Scarrafonata,1974,recitato in,22 March 1974,22 March 1974,Teatro la Comunità,Roma,"Teatro la Comunità, Roma",18
Carla Henius,"La fabbrica illuminata",1974,recitato in,15 September 1974,15 September 1974,Teatro La Fenice,Venezia,"Teatro La Fenice, Venezia",16
Antonio Calenda,Direzione Memorie,1966,ha diretto,October 1966,October 1966,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Corrado Augias,Direzione Memorie,1966,testo/soggetto per,October 1966,October 1966,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Franco Nonnis,Direzione Memorie,1966,ha curato scene/costumi per,October 1966,October 1966,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Alessandro B. Dakar,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Alessandro Haber,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Carla Cassola,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Carlo Colombo,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Franco Leo,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Isabella Russo,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Danda Ortona,Il labirinto ,1966,ha curato scene/costumi per,May 1966,May 1966,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Luigi Proietti,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Francisco Arrabal,Il labirinto ,1966,testo/soggetto per,May 1966,May 1966,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Lydia Mancinelli,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Massimo Fedele,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Sandro Sequi,Il labirinto ,1966,ha diretto,May 1966,May 1966,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Roberto Caporali,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Antonio Calenda,Iperipotesi,1965,ha diretto,June 1965,June 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Franco Nonnis,Iperipotesi,1965,ha curato scene/costumi per,June 1965,June 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Giorgio Manganelli,Iperipotesi,1965,testo/soggetto per,June 1965,June 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Roberto Lattanzio,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Antonio Calenda,Il rumore,1966,ha diretto,February 1966,February 1966,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Boris Vian,Il rumore,1966,testo/soggetto per,February 1966,February 1966,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Simona Ranieri,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Stefania Nelli,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Carmelo Bene,La cena delle beffe,1974,recitato in,11 January 1974,11 January 1974,Teatro la Pergola,Firenze,"Teatro la Pergola, Firenze",17
Carmelo Bene,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Alfiero Vincenti,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Cosimo Cinieri,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
John Cage,45 minuti per conferenziere,1966,testo/soggetto per,1966,1966,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Sylvano Bussotti,45 minuti per conferenziere,1966,adattamento del testo per,1966,1966,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Francesco De Rosa,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Antonio Calenda,Allen Ginsberg,1965,ha diretto,November 1965,November 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Egisto Macchi,Allen Ginsberg,1965,ha curato musiche/sonoro per,November 1965,November 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Franco Casolito,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Franco Nonnis,Allen Ginsberg,1965,ha curato scene/costumi per,November 1965,November 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Giorgio Tieghi,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Aldous Huxley,Apocalittico week-end a Crome,1973,testo/soggetto per,11 January 1973,11 January 1973,Teatro dei Meta-Virtuali,Roma,"Teatro dei Meta-Virtuali, Roma",24
Giuseppe Castronuovo,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Isabella Russo,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Luciana Cante,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Lydia Mancinelli,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Maria Matteucci,Apocalittico week-end a Crome,1973,ha curato scene/costumi per,11 January 1973,11 January 1973,Teatro dei Meta-Virtuali,Roma,"Teatro dei Meta-Virtuali, Roma",24
Maria Matteucci,Apocalittico week-end a Crome,1973,ha curato scene/costumi per,11 January 1973,11 January 1973,Teatro dei Meta-Virtuali,Roma,"Teatro dei Meta-Virtuali, Roma",24
Massimo Fedele,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Pippo Di Marca,Apocalittico week-end a Crome,1973,adattamento del testo per,11 January 1973,11 January 1973,Teatro dei Meta-Virtuali,Roma,"Teatro dei Meta-Virtuali, Roma",24
Pippo Di Marca,Apocalittico week-end a Crome,1973,ha diretto,11 January 1973,11 January 1973,Teatro dei Meta-Virtuali,Roma,"Teatro dei Meta-Virtuali, Roma",24
Stefania Nelli,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Ugo Sterpini,Apocalittico week-end a Crome,1973,ha curato scene/costumi per,11 January 1973,11 January 1973,Teatro dei Meta-Virtuali,Roma,"Teatro dei Meta-Virtuali, Roma",24
Ugo Sterpini,Apocalittico week-end a Crome,1973,ha curato scene/costumi per,11 January 1973,11 January 1973,Teatro dei Meta-Virtuali,Roma,"Teatro dei Meta-Virtuali, Roma",24
Vincenzo Iadicco,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Leo De Berardinis,Tre Jurni,1978,testo/soggetto per,21 July 1978,21 July 1978,Teatro dei Rinnovati,Siena,"Teatro dei Rinnovati, Siena",20
Vladimiro Waiman,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Walter Francesconi,S.A.D.E. ovvero libertinaggio e decadenza del complesso bandistico della gendarmeria salentina,1974,recitato in,3 October 1974,3 October 1974,Teatro Manzoni,Milano,"Teatro Manzoni, Milano",14
Perla Peragallo,Tre Jurni,1978,testo/soggetto per,21 July 1978,21 July 1978,Teatro dei Rinnovati,Siena,"Teatro dei Rinnovati, Siena",20
Alessandro Pradella,Ah…Charlot!,1974,recitato in,3 April 1974,3 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Carmen Sulli,Ah…Charlot!,1974,recitato in,3 April 1974,3 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Carmelo Bene,Faust o Margherita,1966,ha curato scene/costumi per,4 January 1966,4 January 1966,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Carmelo Bene,Faust o Margherita,1966,ha diretto,4 January 1966,4 January 1966,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Lamberto Carry,Ah…Charlot!,1974,recitato in,3 April 1974,3 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Carmelo Bene,Faust o Margherita,1966,testo/soggetto per,4 January 1966,4 January 1966,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Franco Cuomo,Faust o Margherita,1966,testo/soggetto per,4 January 1966,4 January 1966,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Luciana Iannace,Ah…Charlot!,1974,recitato in,3 April 1974,3 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Luciana Martucci,Ah…Charlot!,1974,recitato in,3 April 1974,3 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Lucio Micheli,Ah…Charlot!,1974,recitato in,3 April 1974,3 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Riccardo Ciotti,Ah…Charlot!,1974,recitato in,3 April 1974,3 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Sergio Antonica,Ah…Charlot!,1974,recitato in,3 April 1974,3 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Salvatore Venditelli,Faust o Margherita,1966,ha curato scene/costumi per,4 January 1966,4 January 1966,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Valentino Orfeo,Ah…Charlot!,1974,recitato in,3 April 1974,3 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Alfredo Messina,Woyzeck [Mazzoni '74],1974,recitato in,19 April 1974,19 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Alfred Jarry,I Polacchi (Ubu Roi),1963,testo/soggetto per,11 October 1963,11 October 1963,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Carmelo Bene,I Polacchi (Ubu Roi),1963,ha curato scene/costumi per,11 October 1963,11 October 1963,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Carmelo Bene,I Polacchi (Ubu Roi),1963,ha curato scene/costumi per,11 October 1963,11 October 1963,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Carmelo Bene,I Polacchi (Ubu Roi),1963,ha diretto,11 October 1963,11 October 1963,Teatro dei Satiri,Roma,"Teatro dei Satiri, Roma",17
Clara Murtas,Woyzeck [Mazzoni '74],1974,recitato in,19 April 1974,19 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Doriana Casadidio,Woyzeck [Mazzoni '74],1974,recitato in,19 April 1974,19 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Gianfranco Mazzoni,Woyzeck [Mazzoni '74],1974,recitato in,19 April 1974,19 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Marcello Sambati,Woyzeck [Mazzoni '74],1974,recitato in,19 April 1974,19 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Emiliano Tolve,"In alto mare, Karol",1966,ha curato scene/costumi per,13 April 1966,13 April 1966,Teatro del Leopardo,Roma,"Teatro del Leopardo, Roma",19
Marco Attanasio,Woyzeck [Mazzoni '74],1974,recitato in,19 April 1974,19 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Slawomir Mrozek,"In alto mare, Karol",1966,testo/soggetto per,13 April 1966,13 April 1966,Teatro del Leopardo,Roma,"Teatro del Leopardo, Roma",19
Mario Gigantini,Woyzeck [Mazzoni '74],1974,recitato in,19 April 1974,19 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Massimo Pastorello,Woyzeck [Mazzoni '74],1974,recitato in,19 April 1974,19 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Mela Tomaselli,Woyzeck [Mazzoni '74],1974,recitato in,19 April 1974,19 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Sergio Domma,Woyzeck [Mazzoni '74],1974,recitato in,19 April 1974,19 April 1974,Teatro Tordinona,Roma,"Teatro Tordinona, Roma",16
Bertold Brecht,I sette peccati capitali,1971,testo/soggetto per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Leo De Berardinis,Chianto 'e risate e risate 'e chianto,1974,recitato in,24 November 1974,24 November 1974,,Montepulciano,Montepulciano,0
Luigi Finizio,Chianto 'e risate e risate 'e chianto,1974,recitato in,24 November 1974,24 November 1974,,Montepulciano,Montepulciano,0
Maurizio Gambacorta,Chianto 'e risate e risate 'e chianto,1974,recitato in,24 November 1974,24 November 1974,,Montepulciano,Montepulciano,0
Nunzio Spiezia,Chianto 'e risate e risate 'e chianto,1974,recitato in,24 November 1974,24 November 1974,,Montepulciano,Montepulciano,0
Perla Peragallo,Chianto 'e risate e risate 'e chianto,1974,recitato in,24 November 1974,24 November 1974,,Montepulciano,Montepulciano,0
Sebastiano Devastato,Chianto 'e risate e risate 'e chianto,1974,recitato in,24 November 1974,24 November 1974,,Montepulciano,Montepulciano,0
Vincenzo Mazza,Chianto 'e risate e risate 'e chianto,1974,recitato in,24 November 1974,24 November 1974,,Montepulciano,Montepulciano,0
Carlo Quartucci,Cartoteca,1965,ha diretto,20 May 1965,20 May 1965,Teatro della Fiera,Roma,"Teatro della Fiera, Roma",18
Studenti del corso di drammaturgia,Il Gorilla Quadrumàno,1974,recitato in,1974,1974,,Novi di Modena,Novi di Modena,0
Donilde Humpris,Cavalcata sul lago di Costanza [Carella '75],1975,recitato in,21 December 1975,21 December 1975,Beat 72,Roma,"Beat 72, Roma",7
Maurizio Di Mattia,Cavalcata sul lago di Costanza [Carella '75],1975,recitato in,21 December 1975,21 December 1975,Beat 72,Roma,"Beat 72, Roma",7
Natale Russo,Cavalcata sul lago di Costanza [Carella '75],1975,recitato in,21 December 1975,21 December 1975,Beat 72,Roma,"Beat 72, Roma",7
Rossella Or,Cavalcata sul lago di Costanza [Carella '75],1975,recitato in,21 December 1975,21 December 1975,Beat 72,Roma,"Beat 72, Roma",7
Vittorio Mucci,Cavalcata sul lago di Costanza [Carella '75],1975,recitato in,21 December 1975,21 December 1975,Beat 72,Roma,"Beat 72, Roma",7
Daniela D’Arpino,La morte di Danton,1975,recitato in,10 June 1975,10 June 1975,Beat 72,Roma,"Beat 72, Roma",7
Carlo Quartucci,I sette peccati capitali,1971,ha diretto,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Giancarlo Bignardi,I sette peccati capitali,1971,ha curato scene/costumi per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Giampiero Malaspina,I sette peccati capitali,1971,ha curato musiche/sonoro per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Gianni Sabbatè,I sette peccati capitali,1971,ha curato musiche/sonoro per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Kurt Weill,I sette peccati capitali,1971,ha curato musiche/sonoro per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Leonardo Monreale,I sette peccati capitali,1971,ha curato musiche/sonoro per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Marcello Panni,I sette peccati capitali,1971,ha curato musiche/sonoro per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Pier Francesco Poli,I sette peccati capitali,1971,ha curato musiche/sonoro per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Sandra Mantovani,I sette peccati capitali,1971,ha curato musiche/sonoro per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Daniela Magnante,La morte di Danton,1975,recitato in,10 June 1975,10 June 1975,Beat 72,Roma,"Beat 72, Roma",7
Marco Oizere,La morte di Danton,1975,recitato in,10 June 1975,10 June 1975,Beat 72,Roma,"Beat 72, Roma",7
Maurizio Di Mattia,La morte di Danton,1975,recitato in,10 June 1975,10 June 1975,Beat 72,Roma,"Beat 72, Roma",7
Natale Russo,La morte di Danton,1975,recitato in,10 June 1975,10 June 1975,Beat 72,Roma,"Beat 72, Roma",7
Ornella Minetti,La morte di Danton,1975,recitato in,10 June 1975,10 June 1975,Beat 72,Roma,"Beat 72, Roma",7
Carlo Quartucci,La mucca parlò a Pasquale,1966,ha diretto,February 1966,February 1966,Italsider,Genova,"Italsider, Genova",9
Carlo Quartucci,Intervento al Piper di Torino,1966,testo/soggetto per,December 1966,December 1966,Piper,Torino,"Piper, Torino",5
Carol Plantamura,Laborintus II,1971,ha curato musiche/sonoro per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Cathy Berberian,Laborintus II,1971,ha curato musiche/sonoro per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Rossella Or,La morte di Danton,1975,recitato in,10 June 1975,10 June 1975,Beat 72,Roma,"Beat 72, Roma",7
Edoardo Sanguineti,Laborintus II,1971,testo/soggetto per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Gabriella Ravazzi,Laborintus II,1971,ha curato musiche/sonoro per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Giulio Paolini,Laborintus II,1971,ha curato scene/costumi per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Luciano Berio,Laborintus II,1971,testo/soggetto per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Marcello Panni,Laborintus II,1971,ha curato musiche/sonoro per,31 March 1971,31 March 1971,Teatro dell’Opera Teatro Margherita,Genova,"Teatro dell’Opera Teatro Margherita, Genova",35
Aldo Sassi,La cimice [Cecchi '75],1975,recitato in,10 January 1975,10 January 1975,Cinema Teatro Nuovo,Scandiano,"Cinema Teatro Nuovo, Scandiano",19
